TF	Target	Regulatory Mode
PA5438	aceE	-
PA5438	aceF	-
phoP	ackA	-
lasR	acpP	+
rhlR	acpP	+
anr	aer	?
rpoS	aer2	?
aguR	aguA	-
aguR	aguB	-
PA0167	alc	-
PA1520	alc	-
algR	alg44	+
algU	alg44	+
algZ	alg44	+
cysB	alg44	+
ihf	alg44	+
rpoN	alg44	+
vfr	alg44	?
algR	alg8	+
algU	alg8	+
algZ	alg8	+
cysB	alg8	+
ihf	alg8	+
rpoN	alg8	+
vfr	alg8	?
algR	algA	+
algU	algA	+
algZ	algA	+
cysB	algA	+
ihf	algA	+
rpoN	algA	+
vfr	algA	?
algU	algB	+
ihf	algB	+
rpoN	algB	?
algR	algC	+
algD	algD	?
algR	algD	+
algU	algD	+
algW	algD	+
algZ	algD	+
cysB	algD	+
ihf	algD	+
pepA	algD	?
rpoN	algD	d
vfr	algD	?
algR	algE	+
algU	algE	+
algZ	algE	+
cysB	algE	+
ihf	algE	+
rpoN	algE	+
vfr	algE	?
algR	algF	+
algU	algF	+
algZ	algF	+
cysB	algF	+
ihf	algF	+
rpoN	algF	+
vfr	algF	?
algR	algG	+
algU	algG	+
algZ	algG	+
cysB	algG	+
ihf	algG	+
rpoN	algG	+
vfr	algG	?
algR	algI	+
algU	algI	+
algZ	algI	+
cysB	algI	+
ihf	algI	+
rpoN	algI	+
vfr	algI	?
algR	algJ	+
algU	algJ	+
algZ	algJ	+
cysB	algJ	+
ihf	algJ	+
rpoN	algJ	+
vfr	algJ	?
algR	algK	+
algU	algK	+
algZ	algK	+
cysB	algK	+
ihf	algK	+
rpoN	algK	+
vfr	algK	?
algR	algL	+
algU	algL	+
algZ	algL	+
cysB	algL	+
ihf	algL	+
rpoN	algL	+
vfr	algL	?
ihf	algQ	+
psrA	algQ	-
algR	algR	+
algU	algR	+
phoQ	algR	-
algU	algU	+
algW	algU	+
mucA	algU	-
mucB	algU	-
mucC	algU	-
mucD	algU	-
algR	algX	+
algU	algX	+
algZ	algX	+
cysB	algX	+
ihf	algX	+
rpoN	algX	+
vfr	algX	?
algR	algZ	-
algU	algZ	+
algZ	algZ	-
vfr	algZ	?
lasR	ambB	+
lasR	ambB	+
lasR	ambC	+
lasR	ambC	+
lasR	ambD	+
lasR	ambE	+
lasR	ambE	+
np20	amiA	-
ampR	ampC	+
lasI	ampR	?
algU	amrZ	?
NtrC	amtB	+
anr	anr	+
dnr	anr	+
argR	aotJ	+
cbrB	aotJ	+
cbrB	aotJ	+
rpoD	aotJ	+
argR	aotM	+
cbrB	aotM	+
argR	aotP	+
cbrB	aotP	+
argR	aotQ	+
cbrB	aotQ	+
bexR	aprA	+
fur	aprA	?
fur	aprA	?
lasR	aprD	+
lasR	aprE	+
lasR	aprF	+
anr	arcA	+
argR	arcA	+
narL	arcA	?
anr	arcB	+
argR	arcB	+
narL	arcB	?
anr	arcC	+
argR	arcC	+
narL	arcC	?
anr	arcD	+
argR	arcD	+
narL	arcD	?
algR	argB	+
argR	argF	-
algR	argG	-
argR	argG	-
vfr	argH	?
argR	argR	+
phoP	arnA	?
pmrA	arnA	?
phoP	arnB	?
phoQ	arnB	-
pmrA	arnB	?
phoP	arnC	?
pmrA	arnC	?
phoP	arnD	?
pmrA	arnD	?
phoP	arnE	?
pmrA	arnE	?
phoP	arnF	?
pmrA	arnF	?
phoP	arnT	?
pmrA	arnT	?
anr	aroE	+
dnr	aroE	+
argR	aruB	+
cysB	aruB	+
argR	aruC	+
cysB	aruC	+
argR	aruD	+
argR	aruE	+
argR	aruF	+
argR	aruG	+
cysB	aruG	+
cysB	atsA	?
atuR	atuA	?
atuR	atuB	?
atuR	atuC	?
atuR	atuD	?
atuR	atuE	?
atuR	atuF	?
metR	atuF	+
atuR	atuG	?
atuR	atuH	?
anr	azu	+
rpoS	azu	+
bexR	bexR	+
birA	bioB	-
birA	bioC	-
birA	bioD	-
birA	bioF	-
crc	bkdA1	?
crc	bkdA2	?
crc	bkdB	?
algU	bolA	+
lasR	bphO	+
rpoS	bphO	+
lasR	bphP	+
rpoS	bphP	+
algR	braZ	+
argR	braZ	+
brlR	brlR	+
argR	carA	-
argR	carB	-
pvdS	cat	+
vfr	cbpA	+
mexT	cbpD	-
cbrB	cbrB	+
roxR	ccoN1	+
roxS	ccoN1	+
anr	ccoN2	+
roxR	ccoN2	+
roxS	ccoN2	+
roxR	ccoO1	+
roxS	ccoO1	+
anr	ccoO2	+
roxR	ccoO2	+
roxS	ccoO2	+
roxR	ccoP1	+
roxS	ccoP1	+
anr	ccoP2	+
roxR	ccoP2	+
roxS	ccoP2	+
roxR	ccoQ1	+
roxS	ccoQ1	+
anr	ccoQ2	+
roxR	ccoQ2	+
roxS	ccoQ2	+
PSPA7_RS29445	PSPA7_RS29435 (PSPA7_6173)	?
rhlR	chiC	?
cifR	cif	?
anr	cioA	-
roxR	cioA	+
roxS	cioA	+
rpoS	cioA	+
anr	cioB	-
roxR	cioB	+
roxS	cioB	+
rpoS	cioB	+
PA0436	codA	-
PA0436	codB	-
anr	coIII	-
rpoS	coIII	+
anr	coxA	-
roxR	coxA	-
roxS	coxA	-
rpoS	coxA	+
anr	coxB	-
roxR	coxB	-
roxS	coxB	-
rpoS	coxB	+
rpoS	cttP	?
lasR	cueR	+
pmrA	cueR	+
mvaT	cupA1	-
mvaT	cupB1	-
rocA1	cupB1	+
rocA1	cupB2	?
rocA1	cupB3	?
rocA1	cupB4	?
rocA1	cupB5	?
rocA1	cupB6	?
mvaT	cupC1	-
rocA1	cupC1	-
rocA1	cupC2	?
rocA1	cupC3	?
roxR	cyoA	+
roxS	cyoA	+
roxR	cyoB	+
roxS	cyoB	+
roxR	cyoC	+
roxS	cyoC	+
roxR	cyoD	+
roxS	cyoD	+
roxR	cyoE	+
roxS	cyoE	+
cysB	cysB	-
PA4132	cysI	-
pmrA	cysT	+
copR	czcA	?
copR	czcB	?
copR	czcC	?
PA0120	dctA	-
desT	desB	-
desT	desT	?
PSPA7_RS29400	PSPA7_RS29490 (PSPA7_6185)	?
PA0436	dht	-
algU	dksA	+
